"Date: 2026-08-12+0000"
"Version: 7.2"
"Status: 
0 Normal
-1 Abandoned 
2 Completed"
"Folder Name","List Name","Title","Kind","Tags","Content","Is Check list","Start Date","Due Date","Reminder","Repeat","Priority","Status","Created Time","Completed Time","Order","Timezone","Is All Day","Is Floating","Column Name","Column Order","View Mode","taskId","parentId","projectKind"
"🤬ESCAPE","🍇TYPESCRIPT","타입스크립트 [8. Node.js 설치하기] [🤬ESCAPE/🍇TYPESCRIPT.md](obsidian://open?vault=dev-growth&file=%F0%9F%A4%ACESCAPE/%F0%9F%8D%87TYPESCRIPT.md)","TEXT","ticktick","","N","","","","","0","0","2026-08-12T01:01:46+0000","","-1099511627776","Asia/Seoul","true","false",,,"list","47","34","TASK"
"🤬ESCAPE","🍇TYPESCRIPT","타입스크립트 [6. 필독 - 예제페이지 보는 법] [🤬ESCAPE/🍇TYPESCRIPT.md](obsidian://open?vault=dev-growth&file=%F0%9F%A4%ACESCAPE/%F0%9F%8D%87TYPESCRIPT.md)","TEXT","ticktick","","N","","","","","0","0","2026-08-12T01:01:46+0000","","-1099511627776","Asia/Seoul","true","false",,,"list","48","34","TASK"
"🤬ESCAPE","🍇TYPESCRIPT","타입스크립트 [5. 필독 - 질문하는 방법] [🤬ESCAPE/🍇TYPESCRIPT.md](obsidian://open?vault=dev-growth&file=%F0%9F%A4%ACESCAPE/%F0%9F%8D%87TYPESCRIPT.md)","TEXT","ticktick","","N","","","","","0","0","2026-08-12T01:01:46+0000","","-1099511627776","Asia/Seoul","true","false",,,"list","49","34","TASK"
"🤬ESCAPE","🍇TYPESCRIPT","타입스크립트 [4. 타입스크립트가 뭐고 왜 사용되나요?] [🤬ESCAPE/🍇TYPESCRIPT.md](obsidian://open?vault=dev-growth&file=%F0%9F%A4%ACESCAPE/%F0%9F%8D%87TYPESCRIPT.md)","TEXT","ticktick","","N","","","","","0","0","2026-08-12T01:01:46+0000","","-1099511627776","Asia/Seoul","true","false",,,"list","50","34","TASK"
"🤬ESCAPE","🍇TYPESCRIPT","타입스크립트 [3. 자바스크립트 지식이 부족하다고 느끼시는 분들께] [🤬ESCAPE/🍇TYPESCRIPT.md](obsidian://open?vault=dev-growth&file=%F0%9F%A4%ACESCAPE/%F0%9F%8D%87TYPESCRIPT.md)","TEXT","ticktick","","N","","","","","0","0","2026-08-12T01:01:46+0000","","-1099511627776","Asia/Seoul","true","false",,,"list","51","34","TASK"
"🤬ESCAPE","🍇TYPESCRIPT","타입스크립트 [2. 필독 - 강의가 본인에게 맞는지 확인해주세요!] [🤬ESCAPE/🍇TYPESCRIPT.md](obsidian://open?vault=dev-growth&file=%F0%9F%A4%ACESCAPE/%F0%9F%8D%87TYPESCRIPT.md)","TEXT","ticktick","","N","","","","","0","0","2026-08-12T01:01:46+0000","","-1099511627776","Asia/Seoul","true","false",,,"list","52","34","TASK"
"🤬ESCAPE","🍇TYPESCRIPT","타입스크립트 [1. 강의소개] [🤬ESCAPE/🍇TYPESCRIPT.md](obsidian://open?vault=dev-growth&file=%F0%9F%A4%ACESCAPE/%F0%9F%8D%87TYPESCRIPT.md)","TEXT","ticktick","","N","","","","","0","0","2026-08-12T01:01:46+0000","","-1099511627776","Asia/Seoul","true","false",,,"list","53","34","TASK"
"🤬ESCAPE","🍇TYPESCRIPT","타입스크립트 [31. React에서의 사용예] [🤬ESCAPE/🍇TYPESCRIPT.md](obsidian://open?vault=dev-growth&file=%F0%9F%A4%ACESCAPE/%F0%9F%8D%87TYPESCRIPT.md)","TEXT","ticktick","","N","","","","","0","0","2026-08-12T01:01:46+0000","","-1099511627776","Asia/Seoul","true","false",,,"list","54","34","TASK"
"🤬ESCAPE","🍇TYPESCRIPT","타입스크립트 [30. 타입 정의 파일 & @types] [🤬ESCAPE/🍇TYPESCRIPT.md](obsidian://open?vault=dev-growth&file=%F0%9F%A4%ACESCAPE/%F0%9F%8D%87TYPESCRIPT.md)","TEXT","ticktick","","N","","","","","0","0","2026-08-12T01:01:46+0000","","-1099511627776","Asia/Seoul","true","false",,,"list","55","34","TASK"
"🤬ESCAPE","🍇TYPESCRIPT","타입스크립트 [29. tsconfig 설정] [🤬ESCAPE/🍇TYPESCRIPT.md](obsidian://open?vault=dev-growth&file=%F0%9F%A4%ACESCAPE/%F0%9F%8D%87TYPESCRIPT.md)","TEXT","ticktick","","N","","","","","0","0","2026-08-12T01:01:46+0000","","-1099511627776","Asia/Seoul","true","false",,,"list","56","34","TASK"
"🤬ESCAPE","🍇TYPESCRIPT","타입스크립트 [28. 네임스페이스와 모듈] [🤬ESCAPE/🍇TYPESCRIPT.md](obsidian://open?vault=dev-growth&file=%F0%9F%A4%ACESCAPE/%F0%9F%8D%87TYPESCRIPT.md)","TEXT","ticktick","","N","","","","","0","0","2026-08-12T01:01:46+0000","","-1099511627776","Asia/Seoul","true","false",,,"list","57","34","TASK"
